latitude,longitude,geometry
-122.29897194950642,37.875476166717235,POINT (-122.29897194950642 37.875476166717235)
-122.29060600176652,37.87565896668373,POINT (-122.29060600176652 37.87565896668373)
-122.22827526998334,37.84866873940222,POINT (-122.22827526998334 37.84866873940222)
-122.31680608979669,37.86560139578007,POINT (-122.31680608979669 37.86560139578007)
-122.278018242046,37.875436535926134,POINT (-122.278018242046 37.875436535926134)
-122.30528275032782,37.871440228368215,POINT (-122.30528275032782 37.871440228368215)
-122.24576845323176,37.85399590164562,POINT (-122.24576845323176 37.85399590164562)
-122.24448483305316,37.854211959311876,POINT (-122.24448483305316 37.854211959311876)
-122.2341688466888,37.85245348609575,POINT (-122.2341688466888 37.85245348609575)
-122.30381412965875,37.866761538934476,POINT (-122.30381412965875 37.866761538934476)
-122.31346131925862,37.86920578228591,POINT (-122.31346131925862 37.86920578228591)
-122.28795160583927,37.86681884909433,POINT (-122.28795160583927 37.86681884909433)
-122.24439407906901,37.85399845058906,POINT (-122.24439407906901 37.85399845058906)
-122.2513784778705,37.85398282562214,POINT (-122.2513784778705 37.85398282562214)
-122.24441910539876,37.854215682611695,POINT (-122.24441910539876 37.854215682611695)
-122.24328691985673,37.85424202266612,POINT (-122.24328691985673 37.85424202266612)
-122.24282746998138,37.854224086941244,POINT (-122.24282746998138 37.854224086941244)
-122.24282746998138,37.854224086941244,POINT (-122.24282746998138 37.854224086941244)
-122.23011288499085,37.84954588222108,POINT (-122.23011288499085 37.84954588222108)
-122.28991653873044,37.87300779099902,POINT (-122.28991653873044 37.87300779099902)
-122.28843985726458,37.87320186069457,POINT (-122.28843985726458 37.87320186069457)
-122.30304242889066,37.86552669624097,POINT (-122.30304242889066 37.86552669624097)
-122.30303099998854,37.86613772350092,POINT (-122.30303099998854 37.86613772350092)
-122.30550215872702,37.866289368169,POINT (-122.30550215872702 37.866289368169)
-122.31593624752247,37.864216179926615,POINT (-122.31593624752247 37.864216179926615)
-122.31584204247467,37.86423059856535,POINT (-122.31584204247467 37.86423059856535)
-122.26862802640551,37.884036966407265,POINT (-122.26862802640551 37.884036966407265)
